YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2020-01-01,302,1977,392,6,1296,198,Northern_borders,Domestic
2020-01-01,78,97,144,1,1846,1481,Northern_borders,Inbound
2020-01-01,55,69,100,1,1818,1446,Northern_borders,Inbound
2020-01-01,23,28,44,1,1912,1567,Northern_borders,Inbound
2021-01-01,850,5610,1802,7,2121,321,Northern_borders,Domestic
2021-01-01,463,2991,897,6,1937,300,Northern_borders,Domestic
2021-01-01,386,2619,904,7,2341,345,Northern_borders,Domestic
2021-01-01,126,151,255,1,2016,1685,Northern_borders,Inbound
2021-01-01,92,111,188,1,2043,1695,Northern_borders,Inbound
2021-01-01,35,41,67,1,1944,1656,Northern_borders,Inbound
2022-01-01,1015,5276,2574,5,2537,488,Northern_borders,Domestic
2022-01-01,582,2866,1288,5,2213,449,Northern_borders,Domestic
2022-01-01,433,2411,1286,6,2972,533,Northern_borders,Domestic
2022-01-01,598,1116,435,2,727,390,Northern_borders,Inbound
2022-01-01,384,722,308,2,801,427,Northern_borders,Inbound
2022-01-01,214,395,127,2,593,322,Northern_borders,Inbound
2023-01-01,1070,7540,1984,7,1853,263,Northern_borders,Domestic
2023-01-01,563,3977,1258,7,2236,316,Northern_borders,Domestic
2023-01-01,508,3563,726,7,1430,204,Northern_borders,Domestic
2023-01-01,356,2084,536,6,1503,257,Northern_borders,Inbound
2023-01-01,173,912,214,5,1237,234,Northern_borders,Inbound
2023-01-01,183,1172,322,6,1755,274,Northern_borders,Inbound
2024-01-01,1090,8262,1843,8,1692,223,Northern_borders,Domestic
2024-01-01,626,4205,1232,7,1968,293,Northern_borders,Domestic
2024-01-01,463,4057,611,9,1318,151,Northern_borders,Domestic
2024-01-01,528,2860,1200,5,2273,420,Northern_borders,Inbound
2024-01-01,284,1332,484,5,1706,363,Northern_borders,Inbound
2024-01-01,244,1528,716,6,2933,469,Northern_borders,Inbound
2015-01-01,2021,8639,9897,4,4897,1146,Riyadh,Inbound
2015-01-01,1917,8327,9731,4,5076,1169,Riyadh,Inbound
2015-01-01,104,312,166,3,1596,531,Riyadh,Inbound
2015-01-01,4953,24617,6158,5,1243,250,Riyadh,Domestic
2015-01-01,4292,21961,5822,5,1356,265,Riyadh,Domestic
2015-01-01,661,2656,336,4,509,127,Riyadh,Domestic
2016-01-01,3242,14918,20739,5,6396,1390,Riyadh,Inbound
2016-01-01,3203,14778,20671,5,6453,1399,Riyadh,Inbound
2016-01-01,39,140,67,4,1724,483,Riyadh,Inbound
2016-01-01,4468,26196,7518,6,1683,287,Riyadh,Domestic
2016-01-01,4158,24590,7263,6,1747,295,Riyadh,Domestic
2016-01-01,310,1606,255,5,824,159,Riyadh,Domestic
2017-01-01,1998,8922,12849,4,6430,1440,Riyadh,Inbound
2017-01-01,1943,8716,12724,4,6548,1460,Riyadh,Inbound
2017-01-01,55,206,124,4,2269,605,Riyadh,Inbound
2017-01-01,4105,22132,4916,5,1198,222,Riyadh,Domestic
2017-01-01,3680,18827,4513,5,1226,240,Riyadh,Domestic
2017-01-01,424,3305,403,8,950,122,Riyadh,Domestic
2018-01-01,2010,10147,12021,5,5980,1185,Riyadh,Inbound
2018-01-01,1958,9950,11923,5,6090,1198,Riyadh,Inbound
2018-01-01,53,198,99,4,1870,498,Riyadh,Inbound
2018-01-01,4306,24493,6028,6,1400,246,Riyadh,Domestic
2018-01-01,3788,21041,5255,6,1387,250,Riyadh,Domestic
2018-01-01,518,3452,772,7,1490,224,Riyadh,Domestic
2019-01-01,2933,19719,16943,7,5777,859,Riyadh,Inbound
2019-01-01,2862,19485,16788,7,5865,862,Riyadh,Inbound
2019-01-01,70,234,155,3,2204,662,Riyadh,Inbound
2019-01-01,5940,35526,10774,6,1814,303,Riyadh,Domestic
2019-01-01,5049,29725,9805,6,1942,330,Riyadh,Domestic
2019-01-01,891,5801,969,6,1087,167,Riyadh,Domestic
2020-01-01,1065,9437,4967,9,4666,526,Riyadh,Inbound
2020-01-01,1038,9319,4899,9,4719,526,Riyadh,Inbound
2020-01-01,27,118,68,4,2570,579,Riyadh,Inbound
2020-01-01,6825,31954,7493,5,1098,234,Riyadh,Domestic
2020-01-01,5086,22345,6520,4,1282,292,Riyadh,Domestic
2020-01-01,1740,9609,973,6,559,101,Riyadh,Domestic
2021-01-01,1223,14859,7472,12,6107,503,Riyadh,Inbound
2021-01-01,1185,14557,7352,12,6203,505,Riyadh,Inbound
2021-01-01,38,302,120,8,3140,397,Riyadh,Inbound
2021-01-01,11606,55439,21108,5,1819,381,Riyadh,Domestic
2021-01-01,8361,37599,17816,4,2131,474,Riyadh,Domestic
2021-01-01,3245,17840,3292,6,1014,185,Riyadh,Domestic
2022-01-01,1911,41957,11535,22,6037,275,Riyadh,Inbound
2022-01-01,1810,41553,11303,23,6245,272,Riyadh,Inbound
2022-01-01,101,403,232,4,2308,575,Riyadh,Inbound
2022-01-01,16144,72030,24947,4,1545,346,Riyadh,Domestic
2022-01-01,10426,46438,20320,4,1949,438,Riyadh,Domestic
2022-01-01,5718,25592,4627,4,809,181,Riyadh,Domestic
2023-01-01,3010,56979,12542,19,4167,220,Riyadh,Inbound
2023-01-01,2774,52163,11759,19,4240,225,Riyadh,Inbound
2023-01-01,236,4816,783,20,3311,163,Riyadh,Inbound
2023-01-01,16348,98364,28576,6,1748,291,Riyadh,Domestic
2023-01-01,12343,68917,23661,6,1917,343,Riyadh,Domestic
2023-01-01,4005,29447,4915,7,1227,167,Riyadh,Domestic
2024-01-01,2861,40617,10574,14,3696,260,Riyadh,Inbound
2024-01-01,2699,37845,10269,14,3805,271,Riyadh,Inbound
2024-01-01,162,2772,304,17,1881,110,Riyadh,Inbound
2024-01-01,17597,107571,29493,6,1676,274,Riyadh,Domestic
2024-01-01,12716,76116,25154,6,1978,330,Riyadh,Domestic
2024-01-01,4881,31455,4339,6,889,138,Riyadh,Domestic
2015-01-01,1164,4769,980,4,842,206,Tabuk,Domestic
2015-01-01,30,102,38,3,1262,373,Tabuk,Domestic
2015-01-01,43,190,42,4,975,220,Tabuk,Domestic
2015-01-01,334,1162,203,4,606,174,Tabuk,Domestic
2015-01-01,648,2958,610,5,941,206,Tabuk,Domestic
2015-01-01,109,357,87,3,804,245,Tabuk,Domestic
2015-01-01,298,1477,754,5,2529,511,Tabuk,Inbound
2015-01-01,10,55,37,5,3551,675,Tabuk,Inbound
2015-01-01,48,100,64,2,1331,640,Tabuk,Inbound
2015-01-01,240,1322,653,6,2725,494,Tabuk,Inbound
2016-01-01,1150,4936,1000,4,869,203,Tabuk,Domestic
2016-01-01,57,227,53,4,941,236,Tabuk,Domestic
2016-01-01,99,265,55,3,555,207,Tabuk,Domestic
2016-01-01,178,818,169,5,949,206,Tabuk,Domestic
2016-01-01,725,3362,653,5,900,194,Tabuk,Domestic
2016-01-01,91,264,70,3,766,265,Tabuk,Domestic
2016-01-01,134,914,379,7,2826,415,Tabuk,Inbound
2016-01-01,1,3,3,3,2273,831,Tabuk,Inbound
2016-01-01,14,60,34,4,2319,562,Tabuk,Inbound
2016-01-01,13,90,31,7,2433,343,Tabuk,Inbound
2016-01-01,106,760,312,7,2949,410,Tabuk,Inbound
2017-01-01,1228,5965,1008,5,821,169,Tabuk,Domestic
2017-01-01,54,453,49,8,917,109,Tabuk,Domestic
2017-01-01,69,233,61,3,892,263,Tabuk,Domestic
2017-01-01,173,662,142,4,816,214,Tabuk,Domestic
2017-01-01,861,4394,709,5,823,161,Tabuk,Domestic
2017-01-01,72,223,47,3,658,212,Tabuk,Domestic
2017-01-01,105,403,255,4,2437,635,Tabuk,Inbound
2017-01-01,9,27,24,3,2773,887,Tabuk,Inbound
2017-01-01,7,24,17,4,2436,696,Tabuk,Inbound
2017-01-01,89,351,214,4,2404,611,Tabuk,Inbound
2018-01-01,1246,6807,1218,6,977,179,Tabuk,Domestic
2018-01-01,60,453,57,8,951,126,Tabuk,Domestic
2018-01-01,108,446,114,4,1052,255,Tabuk,Domestic
2018-01-01,200,708,149,4,742,210,Tabuk,Domestic
2018-01-01,793,4706,811,6,1023,172,Tabuk,Domestic
2018-01-01,85,495,87,6,1032,177,Tabuk,Domestic
2018-01-01,110,542,239,5,2163,441,Tabuk,Inbound
2018-01-01,11,63,18,6,1587,287,Tabuk,Inbound
2018-01-01,6,21,10,4,1841,507,Tabuk,Inbound
2018-01-01,93,456,209,5,2252,459,Tabuk,Inbound
2018-01-01,0,2,1,5,2744,516,Tabuk,Inbound
2019-01-01,1441,8605,2050,6,1423,238,Tabuk,Domestic
2019-01-01,78,579,99,8,1277,171,Tabuk,Domestic
2019-01-01,148,832,266,6,1790,320,Tabuk,Domestic
2019-01-01,355,1558,533,4,1503,342,Tabuk,Domestic
2019-01-01,773,5166,1045,7,1352,202,Tabuk,Domestic
2019-01-01,87,470,107,5,1229,228,Tabuk,Domestic
2019-01-01,112,494,301,4,2688,609,Tabuk,Inbound
2019-01-01,0,2,2,5,5050,1010,Tabuk,Inbound
2019-01-01,9,60,20,6,2186,342,Tabuk,Inbound
2019-01-01,3,11,6,4,1902,551,Tabuk,Inbound
2019-01-01,99,420,272,4,2752,646,Tabuk,Inbound
2019-01-01,298,1,932,4,1838,430,Tabuk,Inbound
2020-01-01,2043,11677,2765,6,1354,237,Tabuk,Domestic
2020-01-01,99,649,97,7,982,150,Tabuk,Domestic
2020-01-01,230,1149,344,5,1498,299,Tabuk,Domestic
2020-01-01,686,3521,1046,5,1525,297,Tabuk,Domestic
2020-01-01,928,5636,1169,6,1260,207,Tabuk,Domestic
2020-01-01,100,721,108,7,1084,150,Tabuk,Domestic
2020-01-01,21,186,110,9,5138,594,Tabuk,Inbound
2020-01-01,3,46,21,15,6830,463,Tabuk,Inbound
2020-01-01,1,6,3,8,4153,501,Tabuk,Inbound
2020-01-01,18,134,86,8,4882,643,Tabuk,Inbound
2021-01-01,2288,12673,4286,6,1873,338,Tabuk,Domestic
2021-01-01,130,690,219,5,1680,317,Tabuk,Domestic
2021-01-01,181,799,427,4,2359,534,Tabuk,Domestic
2021-01-01,392,1843,935,5,2383,507,Tabuk,Domestic
2021-01-01,1407,8265,2460,6,1749,298,Tabuk,Domestic
2021-01-01,178,1076,246,6,1379,229,Tabuk,Domestic
2021-01-01,38,421,222,11,5907,526,Tabuk,Inbound
2021-01-01,2,7,9,3,3768,1181,Tabuk,Inbound
2021-01-01,298,1,1,8,4745,611,Tabuk,Inbound
2021-01-01,13,78,77,6,6061,988,Tabuk,Inbound
2021-01-01,22,334,135,15,6050,403,Tabuk,Inbound
2022-01-01,2610,14063,5378,5,2061,382,Tabuk,Domestic
2022-01-01,146,764,265,5,1822,348,Tabuk,Domestic
2022-01-01,220,916,516,4,2350,563,Tabuk,Domestic
2022-01-01,397,1762,1186,4,2983,673,Tabuk,Domestic
2022-01-01,1675,9761,3097,6,1849,317,Tabuk,Domestic
2022-01-01,172,861,314,5,1825,365,Tabuk,Domestic
2022-01-01,86,1259,306,15,3545,243,Tabuk,Inbound
2022-01-01,298,4,2,9,3350,372,Tabuk,Inbound
2022-01-01,2,20,6,9,2843,320,Tabuk,Inbound
2022-01-01,298,1,932,9,5255,584,Tabuk,Inbound
2022-01-01,83,1229,296,15,3578,241,Tabuk,Inbound
2022-01-01,1,5,2,6,2025,319,Tabuk,Inbound
2023-01-01,2817,18465,4202,7,1491,228,Tabuk,Domestic
2023-01-01,189,1798,182,10,959,101,Tabuk,Domestic
2023-01-01,294,953,196,3,667,206,Tabuk,Domestic
2023-01-01,462,3448,282,8,609,82,Tabuk,Domestic
2023-01-01,1654,10881,3330,7,2013,306,Tabuk,Domestic
2023-01-01,217,1385,212,6,980,153,Tabuk,Domestic
2023-01-01,138,1177,341,8,2472,290,Tabuk,Inbound
2023-01-01,3,24,10,8,3535,423,Tabuk,Inbound
2023-01-01,12,110,32,10,2775,293,Tabuk,Inbound
2023-01-01,11,82,23,8,2145,277,Tabuk,Inbound
2023-01-01,106,910,259,9,2446,284,Tabuk,Inbound
2023-01-01,7,51,17,7,2438,340,Tabuk,Inbound
2024-01-01,3090,21462,4880,7,1579,227,Tabuk,Domestic
2024-01-01,207,1926,216,9,1039,112,Tabuk,Domestic
2024-01-01,311,1188,181,4,582,152,Tabuk,Domestic
2024-01-01,477,2854,308,6,644,108,Tabuk,Domestic
2024-01-01,1843,13440,3795,7,2059,282,Tabuk,Domestic
2024-01-01,252,2054,381,8,1511,185,Tabuk,Domestic
2024-01-01,154,4581,932,30,6050,203,Tabuk,Inbound
2024-01-01,2,104,16,42,6607,157,Tabuk,Inbound
2024-01-01,11,293,85,26,7659,291,Tabuk,Inbound
2024-01-01,9,131,20,14,2194,155,Tabuk,Inbound
2024-01-01,126,3866,753,31,5978,195,Tabuk,Inbound
2024-01-01,5,186,58,35,10882,309,Tabuk,Inbound
